
Similarity
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0000000000117353,0.842009975899354,0.010703318118827857,0.9606502263237858,0.9400880957775762,0.9667885214659029,0.9348025733584333,0.9552996358399057,0.8435060093713861,0.9525982263030781,0.9627240435316529
CT-2,251,0.842009975899354,1.000000000012081,0.2334424430955547,0.8656038984004457,0.8501465988355773,0.8569390483245464,0.8975081422928696,0.8746610600190001,0.9253813387343791,0.857008921330614,0.9002454763644944
CT-3,267,0.010703318118827857,0.2334424430955547,1.0000000000000013,0.03443061553982538,0.027299073529946857,0.012606029528554951,0.050465732575513955,0.10678784637057541,0.2252452687900603,0.03408622034566612,0.07733828500956731
CT-4,308,0.9606502263237858,0.8656038984004457,0.03443061553982538,1.0000000000165077,0.959966206931406,0.9809385295073236,0.9513276823849626,0.9697672931814797,0.8763501639314376,0.9558462943534872,0.9605040229532472
CT-5,259,0.9400880957775762,0.8501465988355773,0.027299073529946857,0.959966206931406,1.0000000000210512,0.9349289819979726,0.9362831904628701,0.9744518071537642,0.8725296670146249,0.9656744234642772,0.9555361279715073
CT-6,299,0.9667885214659029,0.8569390483245464,0.012606029528554951,0.9809385295073236,0.9349289819979726,1.0000000000163178,0.939800907901528,0.9516239619160141,0.8543315580434699,0.9374393116267191,0.9507312831522284
CT-7,219,0.9348025733584333,0.8975081422928696,0.050465732575513955,0.9513276823849626,0.9362831904628701,0.939800907901528,1.0000000000063844,0.9521799104259617,0.8846549585297163,0.9385609272026431,0.9534094644537666
CT-8.2,222,0.9552996358399057,0.8746610600190001,0.10678784637057541,0.9697672931814797,0.9744518071537642,0.9516239619160141,0.9521799104259617,1.000000000008669,0.9085093549089224,0.9736237401105853,0.9743568914917432
CT-9,250,0.8435060093713861,0.9253813387343791,0.2252452687900603,0.8763501639314376,0.8725296670146249,0.8543315580434699,0.8846549585297163,0.9085093549089224,1.000000000043315,0.8889947915670579,0.9069430297517274
CT-10,203,0.9525982263030781,0.857008921330614,0.03408622034566612,0.9558462943534872,0.9656744234642772,0.9374393116267191,0.9385609272026431,0.9736237401105853,0.8889947915670579,1.000000000007091,0.9748716175969181
CT-11,215,0.9627240435316529,0.9002454763644944,0.07733828500956731,0.9605040229532472,0.9555361279715073,0.9507312831522284,0.9534094644537666,0.9743568914917432,0.9069430297517274,0.9748716175969181,1.0000000000082985

Likeness
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0,0.7467569154771969,0.0044698436760018945,0.8798281686327092,0.8050108257835894,0.8874394809882303,0.8008819084427878,0.8628650935967375,0.7063681768767807,0.8445256774359097,0.8964773893856617
CT-2,251,0.7467569154771969,1.0,0.07927292497657545,0.7733078440719614,0.7274916546393246,0.7593490429641226,0.7591405768454935,0.7583411591120786,0.7772132773312412,0.7445020332402261,0.7775112888302893
CT-3,267,0.0044698436760018945,0.07927292497657545,1.0,0.01094483028323523,0.009933984500244408,0.007595503461912512,0.01739990851399431,0.020846301013329405,0.06941829784629805,0.019092229337790756,0.0213992949830345
CT-4,308,0.8798281686327092,0.7733078440719614,0.01094483028323523,1.0,0.8425134590099392,0.9154344628053943,0.7966123805238805,0.8764183631782767,0.7504787448413727,0.8458477514223457,0.8723953667738994
CT-5,259,0.8050108257835894,0.7274916546393246,0.009933984500244408,0.8425134590099392,1.0,0.79977236864646,0.7561564799506664,0.8884200374075159,0.7349471606315151,0.8624323600310204,0.8476293858291951
CT-6,299,0.8874394809882303,0.7593490429641226,0.007595503461912512,0.9154344628053943,0.79977236864646,1.0,0.797400549430071,0.8338063106790129,0.698693138100793,0.7963522367124687,0.8488474986098749
CT-7,219,0.8008819084427878,0.7591405768454935,0.01739990851399431,0.7966123805238805,0.7561564799506664,0.797400549430071,1.0,0.777442757105272,0.6738293305020582,0.7518732075283863,0.805485179297259
CT-8.2,222,0.8628650935967375,0.7583411591120786,0.020846301013329405,0.8764183631782767,0.8884200374075159,0.8338063106790129,0.777442757105272,1.0,0.7847441369289072,0.9218773979182739,0.9169946615751619
CT-9,250,0.7063681768767807,0.7772132773312412,0.06941829784629805,0.7504787448413727,0.7349471606315151,0.698693138100793,0.6738293305020582,0.7847441369289072,1.0,0.7592907926957279,0.7651529638586265
CT-10,203,0.8445256774359097,0.7445020332402261,0.019092229337790756,0.8458477514223457,0.8624323600310204,0.7963522367124687,0.7518732075283863,0.9218773979182739,0.7592907926957279,1.0,0.9000553753044445
CT-11,215,0.8964773893856617,0.7775112888302893,0.0213992949830345,0.8723953667738994,0.8476293858291951,0.8488474986098749,0.805485179297259,0.9169946615751619,0.7651529638586265,0.9000553753044445,1.0

Kolgomorov-Smirnov Dmax
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.0,0.22606940658418956,0.989675734279519,0.09338687628161313,0.2438528754318228,0.12709030100334448,0.27177962028358565,0.13916548127074443,0.2882105263157895,0.2014519056261343,0.12089963280293757
CT-2,251,0.22606940658418956,0.0,0.9130668337884418,0.2127722874734827,0.23181405651525172,0.2288638089781343,0.2943113391184122,0.21894404364523887,0.17767330677290838,0.215571212686201,0.21710367831001576
CT-3,267,0.989675734279519,0.9130668337884418,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9825560515109538,0.978236663629922,0.9045093632958802,0.980092618217376,0.9776500304851494
CT-4,308,0.09338687628161313,0.2127722874734827,0.9892626100491269,0.0,0.2378027378027378,0.10677366112148721,0.2512156792978711,0.14250614250614252,0.2436103896103896,0.15931482310792655,0.1321353065539112
CT-5,259,0.2438528754318228,0.23181405651525172,0.9886483594348763,0.2378027378027378,0.0,0.33469350860655206,0.27744574319916787,0.13706563706563707,0.2591969111969112,0.12328584742377846,0.137254197719314
CT-6,299,0.12709030100334448,0.2288638089781343,0.9895657184372377,0.10677366112148721,0.33469350860655206,0.0,0.3466043585162108,0.2147398234354756,0.3136321070234114,0.24139578562367167,0.21571128568095202
CT-7,219,0.27177962028358565,0.2943113391184122,0.9825560515109538,0.2512156792978711,0.27744574319916787,0.3466043585162108,0.0,0.30099962976675304,0.37583561643835617,0.30454146703556245,0.3049803546777105
CT-8.2,222,0.13916548127074443,0.21894404364523887,0.978236663629922,0.14250614250614252,0.13706563706563707,0.2147398234354756,0.30099962976675304,0.0,0.2289009009009009,0.07003062175475969,0.0798240100565682
