scenario,child,parent,metric,best_fit_coeff,boot_median,boot_p2_5,boot_p97_5,ci_width,n_kept,n_total,gof_best_fit,gof_crit,gof_pct_boot_worse,gof_pct_resampled_better
CT-5 & CT-6 to CT-4,CT-4,CT-5,vmax,0.2716163088341102,0.2634010474734664,0.07761013713010011,0.4486008046691432,0.3709906675390431,9822,10000,0.05161175102195117,0.1103896103896104,0.1044,0.589
CT-5 & CT-6 to CT-4,CT-4,CT-6,vmax,0.7283836911658899,0.7365989525265337,0.5513991953308568,0.9223898628699,0.3709906675390432,9822,10000,0.05161175102195117,0.1103896103896104,0.1044,0.589
CT-5 & CT-6 to CT-10,CT-10,CT-5,vmax,0.663687307145245,0.6364123508102753,0.34590655925367486,0.840668478963059,0.4947619197093841,9997,10000,0.1304147039483598,0.1231527093596058,0.6466,0.9342
CT-5 & CT-6 to CT-10,CT-10,CT-6,vmax,0.3363126928547551,0.3635876491897247,0.1593315210369413,0.6540934407463251,0.4947619197093839,9997,10000,0.1304147039483598,0.1231527093596058,0.6466,0.9342
CT-5 & CT-6 to CT-11,CT-11,CT-5,vmax,0.4946048589826401,0.4587896724849908,0.18277836914473242,0.7240210306700873,0.5412426615253548,9991,10000,0.1287978621132226,0.1209302325581395,0.7151,0.9498
CT-5 & CT-6 to CT-11,CT-11,CT-6,vmax,0.5053951410173599,0.5412103275150091,0.2759789693299129,0.8172216308552676,0.5412426615253547,9991,10000,0.1287978621132226,0.1209302325581395,0.7151,0.9498
CT-5 & CT-6 to CT-8.2,CT-8.2,CT-5,vmax,0.5592436573386441,0.5582933276530795,0.29381397204165666,0.7654399667556402,0.47162599471398353,9992,10000,0.1323365127528931,0.1216216216216217,0.5401,0.9001
CT-5 & CT-6 to CT-8.2,CT-8.2,CT-6,vmax,0.4407563426613558,0.4417066723469205,0.23456003324435992,0.7061860279583437,0.4716259947139838,9992,10000,0.1323365127528931,0.1216216216216217,0.5401,0.9001
CT-8.2 & CT-3* to CT-9,CT-9,CT-8.2,vmax,0.8305897988391967,0.8714355307984905,0.7497386816710369,0.9610838902423673,0.21134520857133043,9983,10000,0.1717821170282231,0.1200000000000001,0.9825,0.9942
CT-8.2 & CT-3* to CT-9,CT-9,CT-3,vmax,0.1694102011608034,0.1285644692015097,0.03891610975763281,0.2502613183289632,0.21134520857133038,9983,10000,0.1717821170282231,0.1200000000000001,0.9825,0.9942
CT-4 & CT-3* to CT-9,CT-9,CT-4,vmax,0.937480464786899,0.9332725362564847,0.8469828449140581,0.9702957058839622,0.12331286096990413,8158,10000,0.1966394525151566,0.1200000000000001,0.9983,0.9993
CT-4 & CT-3* to CT-9,CT-9,CT-3,vmax,0.06251953521310112,0.06672746374351538,0.029704294116037908,0.153017155085942,0.12331286096990408,8158,10000,0.1966394525151566,0.1200000000000001,0.9983,0.9993
CT-10 & CT-3* to CT-9,CT-9,CT-10,vmax,0.8814328055399081,0.8681806319902342,0.7430704268368252,0.9500024149080623,0.20693198807123703,9999,10000,0.1541877940113279,0.1200000000000001,0.9728,0.9939
CT-10 & CT-3* to CT-9,CT-9,CT-3,vmax,0.1185671944600919,0.1318193680097658,0.04999758509193771,0.2569295731631749,0.20693198807123717,9999,10000,0.1541877940113279,0.1200000000000001,0.9728,0.9939
CT-11 & CT-3* to CT-9,CT-9,CT-11,vmax,0.8600001099177619,0.8873810376708104,0.7584727003669677,0.9585166665809917,0.20004396621402398,9998,10000,0.156209756067879,0.1200000000000001,0.9835,0.9957
CT-11 & CT-3* to CT-9,CT-9,CT-3,vmax,0.1399998900822381,0.11261896232918944,0.04148333341900838,0.24152729963303193,0.20004396621402354,9998,10000,0.156209756067879,0.1200000000000001,0.9835,0.9957
CT-8.2 & CT-3* to CT-2,CT-2,CT-8.2,vmax,0.8096584424570241,0.822857819587186,0.7533047690649949,0.9035858326200121,0.15028106355501725,10000,10000,0.1644011534945331,0.1235059760956175,0.9971,0.9982
CT-8.2 & CT-3* to CT-2,CT-2,CT-3,vmax,0.1903415575429759,0.1771421804128141,0.09641416737998777,0.24669523093500506,0.1502810635550173,10000,10000,0.1644011534945331,0.1235059760956175,0.9971,0.9982
CT-4 & CT-3* to CT-2,CT-2,CT-4,vmax,0.893301134296692,0.9070355313626683,0.8229211087730108,0.9668643404908908,0.14394323171787993,9539,10000,0.1466775009814584,0.1235059760956175,0.9743,0.9917
CT-4 & CT-3* to CT-2,CT-2,CT-3,vmax,0.1066988657033081,0.09296446863733167,0.033135659509109135,0.17707889122698903,0.1439432317178799,9539,10000,0.1466775009814584,0.1235059760956175,0.9743,0.9917
CT-10 & CT-3* to CT-2,CT-2,CT-10,vmax,0.7903839180310137,0.8087632358536817,0.7429320160998021,0.8857895198590539,0.14285750375925177,9999,10000,0.1785584936301541,0.1235059760956175,0.9995,0.9995
