scenario,parents,child,Qfert_lin_median,Qfert_lin_p25,Qfert_lin_p75,Qfert_log10_median,Qfert_log10_p25,Qfert_log10_p75,Qflux_lin_median,Qflux_lin_p25,Qflux_lin_p75,Qflux_log10_median,Qflux_log10_p25,Qflux_log10_p75,n_retained,n_total,retention_pct
CT-5 & CT-6 to CT-4,CT-5 / CT-6,CT-4,0.011659316770407036,0.005591713615082626,0.01969408736232674,-1.9333269001419553,-2.25245507961383,-1.7056641399427592,0.09724606024610138,0.04570506220340155,0.16987107938958057,-1.0121279843266366,-1.3400356957690294,-0.7698805536706318,55528,100000,55.528
CT-5 & CT-6 to CT-10,CT-5 / CT-6,CT-10,3.5001089041261793,2.6788343328355424,4.802646258513695,0.5440815574133797,0.4279458563608158,0.681480599623919,28.472241631923886,22.046941500946915,38.31496752363342,1.4544216606761604,1.3433483497062535,1.5833684617775252,99802,100000,99.802
CT-5 & CT-6 to CT-11,CT-5 / CT-6,CT-11,7.420609789884084,4.919637366962554,12.989733654996481,0.8704395949369783,0.6919330914313159,1.1136002462698982,60.60218554438238,40.96444918755487,104.12827405760432,1.7824882867510687,1.6124071196620764,2.0175686699386524,91316,100000,91.316
CT-5 & CT-6 to CT-8.2,CT-5 / CT-6,CT-8.2,4.806090181564565,3.4778019911444757,7.272968275594302,0.6817919156539837,0.5413048517862029,0.8617116931973736,39.16940321881815,28.7530121072501,58.012960718696874,1.5929469547301844,1.4586833472062635,1.7635250304560164,98387,100000,98.387
CT-8.2 & CT-3* to CT-9,CT-8.2 / CT-3,CT-9,0.02952198132453159,0.02285473009280973,0.03756972666484966,-1.5298544988528677,-1.6410239032277603,-1.425161964613955,1.060856650171525,0.8090476546103771,1.3561441187484706,0.02565670317244552,-0.09202589677858192,0.13230584487608105,99986,100000,99.98599999999999
CT-4 & CT-3* to CT-9,CT-4 / CT-3,CT-9,0.004963113654378362,0.0020654887658372685,0.009462839434107854,-2.3043833249445065,-2.684977229653205,-2.0283654333090277,0.014327266802161752,0.0058208538189353076,0.022287461134207674,-1.846719679750778,-2.2354421562989533,-1.654543552463623,14,100000,0.013999999999999999
CT-10 & CT-3* to CT-9,CT-10 / CT-3,CT-9,0.036742321159858246,0.028062117570638014,0.047094228435037494,-1.4348334110387082,-1.5518795601622626,-1.3270323139736415,1.1358510176657006,0.8599120235293048,1.4646636461565243,0.055321371470658666,-0.06554597859210345,0.16573790223054152,99986,100000,99.98599999999999
CT-11 & CT-3* to CT-9,CT-11 / CT-3,CT-9,0.026421093509724984,0.020563555391066097,0.03322456148438932,-1.5780492118803373,-1.6869017946874405,-1.4785407423996337,0.9931912663370914,0.7617486346198511,1.2594748343503517,-0.002967108086820645,-0.11818831554665393,0.1001894942441,99986,100000,99.98599999999999
CT-8.2 & CT-3* to CT-2,CT-8.2 / CT-3,CT-2,0.011037906612680363,0.007865651447691892,0.014586495021501875,-1.9571132846473787,-2.1042653024872995,-1.8360490518892028,0.6071322143577336,0.42281874293689614,0.8144459075256993,-0.21671672290595465,-0.37384576934577346,-0.08913775464927565,99547,100000,99.547
CT-4 & CT-3* to CT-2,CT-4 / CT-3,CT-2,0.003982867165040596,0.0018263482035372808,0.007189699138299367,-2.3998041777613675,-2.7384164182266053,-2.1432892828174275,0.01508260660146301,0.006784494205936911,0.027644222436620885,-1.8215235964764318,-2.168482524092453,-1.5583956211795422,453,100000,0.453
CT-10 & CT-3* to CT-2,CT-10 / CT-3,CT-2,0.013981178555526674,0.009936767056709515,0.018568481988706156,-1.8544562178186463,-2.0027548910374895,-1.7312235992695517,0.6402129590130723,0.4439009652330867,0.8617191229581149,-0.19367553923451794,-0.3527139106291784,-0.06463426930596677,99547,100000,99.547
CT-11 & CT-3* to CT-2,CT-11 / CT-3,CT-2,0.010150869998544542,0.007279261319554336,0.013379906492416587,-1.993496734167009,-2.137912689535256,-1.873546921695563,0.5761579510345932,0.40217594077350927,0.7701075226944596,-0.23945844043257894,-0.39558391367412893,-0.11344863424495069,99547,100000,99.547
