scenario,parents,child,metric,Zfert_lin_median,Zfert_lin_p25,Zfert_lin_p75,Zfert_log10_median,Zfert_log10_p25,Zfert_log10_p75,Zflux_lin_median,Zflux_lin_p25,Zflux_lin_p75,Zflux_log10_median,Zflux_log10_p25,Zflux_log10_p75,n_kept,n_total,gof_best_fit,gof_crit,gof_pct_boot_worse,gof_pct_resampled_better
CT-5 & CT-6 to CT-4,CT-5 / CT-6,CT-4,vmax,0.043951252258439676,0.030823005958819302,0.060415842753856586,-1.3570287468614053,-1.5111250099026643,-1.2188491620897455,0.35721866798879953,0.2508473780145027,0.4847683839012979,-0.4470658576017549,-0.6005904340812538,-0.3144657121762325,9822,10000,0.05161175102195117,0.1103896103896104,0.1044,0.589
CT-5 & CT-6 to CT-10,CT-5 / CT-6,CT-10,vmax,0.21953187423803808,0.14820067030605388,0.31469561000791524,-0.6585024154064614,-0.8291498548118593,-0.5021093154480561,1.76185517124673,1.2042291494633295,2.5233539828507756,0.24597020548721382,0.08070913408235958,0.40197815791203084,9997,10000,0.1304147039483598,0.1231527093596058,0.6466,0.9342
CT-5 & CT-6 to CT-11,CT-5 / CT-6,CT-11,vmax,0.10551110814167483,0.06758441732163409,0.15646077529952301,-0.9767018224997168,-1.1701534268587626,-0.8055945234311035,0.8490388277317584,0.5497118077774763,1.2512058774046075,-0.07107244841549293,-0.25986493431401114,0.09732877577203386,9991,10000,0.1287978621132226,0.1209302325581395,0.7151,0.9498
CT-5 & CT-6 to CT-8.2,CT-5 / CT-6,CT-8.2,vmax,0.15487037474321286,0.10922247229843103,0.2138965675955995,-0.810031651406155,-0.9616880079300376,-0.6697961849623538,1.252493448415946,0.89439358327861,1.7107411894044207,0.09777546282332002,-0.048471331593281694,0.2331843119868372,9992,10000,0.1323365127528931,0.1216216216216217,0.5401,0.9001
CT-8.2 & CT-3* to CT-9,CT-8.2 / CT-3,CT-9,vmax,0.19161799645039385,0.13182720191217923,0.2943974094660087,-0.7175637065019498,-0.879994965985354,-0.5310660260446438,6.8026524381640705,4.716042407507742,10.360753135716159,0.8326782825050932,0.6735776203434862,1.0153913259494984,9983,10000,0.1717821170282231,0.1200000000000001,0.9825,0.9942
CT-4 & CT-3* to CT-9,CT-4 / CT-3,CT-9,vmax,4.3940378688635455,3.361966065103735,5.639434243070979,0.6428637939191664,0.5265933253875772,0.7512355313236574,14.010717472949178,10.99674619012938,17.724747158871406,1.1464603733452432,1.041264201457039,1.2485800485753762,8158,10000,0.1966394525151566,0.1200000000000001,0.9983,0.9993
CT-10 & CT-3* to CT-9,CT-10 / CT-3,CT-9,vmax,0.2166089027845926,0.14841367369393113,0.31732448586868756,-0.6643236990819265,-0.8285260847658804,-0.4984964152589781,6.600850336331386,4.526762043833662,9.576732202175624,0.819599885934091,0.6557876643567382,0.9812173374969602,9999,10000,0.1541877940113279,0.1200000000000001,0.9728,0.9939
CT-11 & CT-3* to CT-9,CT-11 / CT-3,CT-9,vmax,0.2086922464539371,0.13999167749996216,0.3069514136857967,-0.6804936887938959,-0.8538978092870726,-0.5129303674029926,7.739077608094087,5.246611432509684,11.341072060987733,0.8886892018216082,0.7198789012546176,1.054654109950595,9998,10000,0.156209756067879,0.1200000000000001,0.9835,0.9957
CT-8.2 & CT-3* to CT-2,CT-8.2 / CT-3,CT-2,vmax,0.08523881331833655,0.07132210022436865,0.10448035612819132,-1.0693626051400993,-1.146775876653094,-0.9809653564769979,4.625958517362675,3.944404527501551,5.6105289315484725,0.6652017339769133,0.5959814486252972,0.7490038062159532,10000,10000,0.1644011534945331,0.1235059760956175,0.9971,0.9982
CT-4 & CT-3* to CT-2,CT-4 / CT-3,CT-2,vmax,2.1908306751903113,1.589767648512697,3.142717774404943,0.3406088127738621,0.20133365115801677,0.49730537991148827,9.776630453641756,7.200233364639048,13.902491192823302,0.9901891995604017,0.8573465724496846,1.143092561449729,9539,10000,0.1466775009814584,0.1235059760956175,0.9743,0.9917
CT-10 & CT-3* to CT-2,CT-10 / CT-3,CT-2,vmax,0.09335617364082555,0.0794468818622347,0.11143181790874476,-1.029856956909628,-1.0999231433580305,-0.9529907843046509,4.229148807032265,3.664693337338721,4.952562093223423,0.626252966522166,0.564037638602305,0.6948299292535213,9999,10000,0.1785584936301541,0.1235059760956175,0.9995,0.9995
CT-11 & CT-3* to CT-2,CT-11 / CT-3,CT-2,vmax,0.08503505172432718,0.06993609183859999,0.1077387307699863,-1.0704020198206925,-1.1552986405538976,-0.9676281450845207,4.756785527424578,3.9951232965288956,5.972222220860878,0.6773135705112346,0.6015301867324367,0.7761359590493224,9999,10000,0.1614371864971752,0.1235059760956175,0.9893,0.9966
CT-5 & CT-6 to CT-4,CT-5 / CT-6,CT-4,r2kde,0.04698747076262111,0.03282108961939464,0.06349254383847873,-1.3280179315135032,-1.483847005351579,-1.197277272508763,0.38132823919132564,0.268925987959417,0.508886486155763,-0.41870103210858445,-0.5703672272225333,-0.2933791136265437,9962,10000,0.9979490759468783,0.9868873765119843,0.0761,0.5408999999999999
CT-5 & CT-6 to CT-10,CT-5 / CT-6,CT-10,r2kde,0.28112908956002636,0.19885855237585623,0.4188489480187727,-0.5510942139004205,-0.7014557264746668,-0.37794257101060774,2.2678372479597124,1.6099634538451448,3.3547965122256613,0.35561188349146544,0.20681601766319643,0.5256661777586042,9934,10000,0.9754457431594525,0.9829263572702504,0.8457,0.9709
CT-5 & CT-6 to CT-11,CT-5 / CT-6,CT-11,r2kde,0.1293813307071317,0.09605027134775859,0.17483507030997542,-0.888128389596844,-1.017501409520817,-0.757371448174929,1.0498403758786874,0.7827621043191395,1.408351003210728,0.021123271312786063,-0.10637020790350099,0.1487109070234194,10000,10000,0.9763614603671334,0.9866448162850229,0.9774,0.9942
CT-5 & CT-6 to CT-8.2,CT-5 / CT-6,CT-8.2,r2kde,0.2113956908194914,0.15447758637116413,0.2985993626618571,-0.6749038697889373,-0.8111345250798669,-0.5249111237202271,1.6940481156198302,1.2569596461194656,2.411493462558294,0.22892574130495963,0.09932133516490892,0.3822860768276569,9990,10000,0.9903346842292337,0.9850923769301488,0.4869,0.8853
CT-8.2 & CT-3* to CT-9,CT-8.2 / CT-3,CT-9,r2kde,0.5476577537484681,0.41225061370959104,0.7622917751519404,-0.2614907604326851,-0.38483868915935177,-0.11787876763322686,19.419189332882524,14.785278856766658,26.508846182268066,1.288231091645788,1.1698295191682435,1.4233908251461733,9762,10000,0.971910691137669,0.9753473258231606,0.9246,0.9846
CT-4 & CT-3* to CT-9,CT-4 / CT-3,CT-9,r2kde,4.995323841679561,3.9813826800254803,6.52149208837129,0.6985636460177098,0.6000339227983786,0.814346971712967,15.895175114654615,12.801844080230415,20.647078865440015,1.2012653168314318,1.1072725334121918,1.314858616451655,9990,10000,0.9462733238381985,0.9756625563191244,0.9971,0.9985
CT-10 & CT-3* to CT-9,CT-10 / CT-3,CT-9,r2kde,0.5448091422658524,0.43164158844275446,0.7121665289635988,-0.2637556132840152,-0.3648767179255201,-0.1474184415521043,16.720315631674843,13.264325945162085,21.689060809667907,1.2232444711879773,1.1226851852844588,1.3362407463890305,9984,10000,0.9641956173263082,0.9753689633062478,0.9728,0.994
CT-11 & CT-3* to CT-9,CT-11 / CT-3,CT-9,r2kde,0.46489859321586624,0.3599363334050314,0.6217928384679272,-0.33264176807589274,-0.4437743117732818,-0.20635428698104083,17.293148939283697,13.582561048084003,22.86542990154616,1.2378740810691264,1.1329816654024376,1.3591793705623416,9900,10000,0.9694659101806091,0.9754704924698523,0.9359,0.987
CT-8.2 & CT-3* to CT-2,CT-8.2 / CT-3,CT-2,r2kde,0.37293928727916154,0.28024852308656456,0.5012099219487769,-0.42836186802611265,-0.5524566674690521,-0.29998034033134785,20.188248209641642,15.450634733761161,26.862977590891216,1.3050986323666325,1.1889463255389232,1.429154149781423,9756,10000,0.9230571112033673,0.9768518328381766,1.0,1.0
CT-4 & CT-3* to CT-2,CT-4 / CT-3,CT-2,r2kde,3.798533646901388,3.0059534549394495,4.861181654354713,0.5796159732983226,0.47798225148622037,0.6867418500573342,17.051075459303764,13.63910015852546,21.544907663635342,1.231751776367299,1.1347857182333814,1.3333446371452229,9996,10000,0.9407322612409931,0.9771444691159024,0.9999,1.0
